Year,Quarter,Period,Ext_debt,Gen_gov,Gen_gov_ST,Gen_gov_ST_Debt,Gen_gov_ST_Loans,Gen_gov_ST_Trade_credit,Gen_gov_LT,Gen_gov_LT_Debt,Gen_gov_LT_Loans,Gen_gov_LT_Trade_credit,Cent_Bank,Cent_Bank_ST,Cent_Bank_ST_Debt,Cent_Bank_ST_Loans,Cent_Bank_ST_Ccy__deposits,Cent_Bank_ST_Other_debt,Cent_Bank_LT,Cent_Bank_LT_Debt,Cent_Bank_LT_Loans,Cent_Bank_LT_Ccy_deposits,Cent_Bank_LT_Other_debt,ODCs,ODCs_ST,ODCs_ST_Debt,ODCs_ST_Loans,ODCs_ST_Ccy_deposits,ODCs_ST_Other_debt,ODCs_LT,ODCs_LT_Debt,ODCs_LT_Loans,ODCs_LT_Ccy_deposits,ODCs_LT_Other_debt,Other_sectors,Other_ST,Other_ST_Debt,Other_ST_Loans,Other_ST_Ccy_deposits,Other_ST_Trade_credit,Other_ST_Other_debt,Other_LT,Other_LT_Debt,Other_LT_Loans,Other_LT_Ccy_deposits,Other_LT_Trade_credit,Other_LT_Other_debt,OFCs,OFCs_ST,OFCs_ST_Debt,OFCs_ST_Loans,OFCs_ST_Ccy_deposits,OFCs_ST_Trade_credit,OFCs_ST_Other_debt,OFCs_LT,OFCs_LT_Debt,OFCs_LT_Loans,OFCs_LT_Ccy_deposits,OFCs_LT_Trade_credit,OFCs_LT_Other_debt,NFCs_HHs_NPISHs,NFCs_HHs_NPISHs_ST,NFCs_HHs_NPISHs_ST_Debt,NFCs_HHs_NPISHs_ST_Loans,NFCs_HHs_NPISHs_ST_Ccy_deposits,NFCs_HHs_NPISHs_ST_Trade_credit,NFCs_HHs_NPISHs_ST_Other_debt,NFCs_HHs_NPISHs_LT,NFCs_HHs_NPISHs_LT_Debt,NFCs_HHs_NPISHs_LT_Loans,NFCs_HHs_NPISHs_LT_Ccy_deposits,NFCs_HHs_NPISHs_LT_Trade_credit,NFCs_HHs_NPISHs_LT_Other_debt,DI_Intercompany_lending,Debt_liabs_DIE_to_DI,Debt_liabs_DI_to_DIE,Debt_liabs_btw_fellow_enterprises,Gross_Ext_Debt,Short_term,Long_term,Debt_GDP,Int_reserves_ST_debt,DSP,DSP_Principal,DSP_Interest,DSP_Public,DSP_Public_Principal,DSP_Public_Interest,DSP_Other_sectors,DSP_Other_Principal,DSP_Other_Interest,Export_goods_services,DSR,DSR_Public,DSR_Others
2005,1,2005Q1,59429.55,5582.78,287,287,0,0,5295.78,1192.69,4103.1,0,128.38,0,0,0,0,0,128.38,0,0,0,128.38,8481.36,3718.91,0,2173.46,1021.18,524.27,4762.45,595.32,4163.91,3.21,0,45237.03,17586.76,112.68,4212.63,0,13261.45,0,27650.27,3405.31,23666.52,0,578.44,0,4668.47,616.28,6.33,609.95,0,0,0,4052.19,221.81,3830.37,0,0,0,40568.56,16970.48,106.34,3602.68,0,13261.45,0,23598.08,3183.49,19836.15,0,578.44,0,7246.02,6699.53,546.49,0,59429.55,21592.67,37836.88,37.35,220.4,3991.44,3617.68,373.76,126.81,87.57,39.24,3864.63,3530.11,334.52,30045.9,13.28,0.42,12.86
2005,2,2005Q2,58984.85,4909.23,781.08,781.08,0,0,4128.15,1225.05,2903.11,0,123.81,0,0,0,0,0,123.81,0,0,0,123.81,7765.92,3623.85,0,2350.7,814.48,458.66,4142.08,406.85,3732.32,2.91,0,46185.88,18917.05,78.28,4890.95,0,13947.83,0,27268.83,3687.32,22983.92,0,597.59,0,4958.66,810.28,3.99,806.29,0,0,0,4148.38,218.14,3930.23,0,0,0,41227.22,18106.77,74.29,4084.65,0,13947.83,0,23120.45,3469.17,19053.68,0,597.59,0,7578.16,7056.77,521.39,0,58984.85,23321.98,35662.87,36.25,209.8,2680.79,2306.7,374.09,130.03,44.94,85.09,2550.76,2261.76,289,31372.6,8.54,0.41,8.13
2005,3,2005Q3,60870.8,4281.15,14.16,14.16,0,0,4266.99,1409.26,2857.73,0,479.03,311.64,311.64,0,0,0,167.39,44.15,0,0,123.24,8564.2,4693.6,0,3341.05,975.13,377.42,3870.59,407.51,3459.59,3.49,0,47546.43,18975.71,76.27,5152.75,0,13746.69,0,28570.72,4644.35,23324.17,0,602.21,0,5381.78,967.94,4.61,963.33,0,0,0,4413.84,217.14,4196.7,0,0,0,42164.66,18007.77,71.66,4189.42,0,13746.69,0,24156.88,4427.21,19127.47,0,602.21,0,8177.74,7669.43,508.31,0,60870.8,23995.11,36875.69,36.49,207.5,3365.52,3003.55,361.97,74.59,42.86,31.73,3290.93,2960.69,330.24,34946.4,9.63,0.21,9.42
2005,4,2005Q4,59294.84,4518.65,71.17,71.17,0,0,4447.48,1668.1,2779.38,0,574.09,394.66,394.66,0,0,0,179.43,57.84,0,0,121.58,6751.33,3089.67,0,1783.62,870.92,435.13,3661.66,402.13,3254.59,4.95,0,47450.77,19185.84,305.13,4499.42,0,14381.3,0,28264.93,4454.38,23172.61,0,637.95,0,6043.22,970.98,3.08,967.91,0,0,0,5072.24,239.67,4832.56,0,0,0,41407.55,18214.86,302.05,3531.51,0,14381.3,0,23192.7,4214.7,18340.05,0,637.95,0,8217.86,7759.29,458.57,0,59294.84,22741.33,36553.51,34.55,225.8,4543.85,4112.98,430.86,146.89,46.26,100.63,4396.96,4066.72,330.24,34349.2,13.16,0.36,12.8
2006,1,2006Q1,65960.42,4661.32,83.36,83.36,0,0,4577.96,1805.76,2772.2,0,708.34,511.18,511.18,0,0,0,197.16,74.53,0,0,122.63,9103.32,5026.72,0,3590.29,939.38,497.04,4076.6,392.14,3679.02,5.44,0,51487.45,21289.71,64.81,5394.59,0,15596.96,233.35,30197.74,4749.95,24742.69,0,702.29,2.81,7023.01,1240.2,0.29,1231.92,0,0,7.99,5782.81,234.8,5547.86,0,0,0.15,44464.44,20049.5,64.52,4162.67,0,15596.96,225.36,24414.93,4515.14,19194.83,0,702.29,2.66,8924.44,8312.62,611.82,0,65960.42,26910.97,39049.45,37.21,203,4318.38,3888.76,429.61,78.68,49.44,29.24,4239.7,3839.33,400.37,35411.6,12.19,0.22,11.97
2006,2,2006Q2,66963.07,4483.23,126.75,126.75,0,0,4356.48,1688.36,2668.12,0,922.64,623.63,623.63,0,0,0,299.01,173.03,0,0,125.97,7501.28,3141.58,0,1611.09,948.01,582.48,4359.71,391.67,3964.28,3.75,0,54055.91,22904.47,76.91,5426.81,0,17171.85,228.9,31151.44,4681.07,25707.95,0,760.17,2.26,7159.4,1239.78,0.29,1233.01,0,0,6.48,5919.62,231.71,5687.91,0,0,0,46896.51,21664.68,76.63,4193.8,0,17171.85,222.41,25231.83,4449.36,20020.04,0,760.17,2.26,9673.51,8948.9,724.61,0,66963.07,26796.43,40166.64,36.56,214.2,3415.46,2929.61,485.85,140.57,53.62,86.95,3274.89,2875.99,398.9,36595.7,9.3,0.39,8.91
2006,3,2006Q3,68631.09,4270.09,42.54,42.54,0,0,4227.55,1836.96,2390.59,0,926.96,667.3,667.3,0,0,0,259.66,133.89,0,0,125.77,9513.8,5636.95,0,3540.11,1700.54,396.3,3876.85,501.35,3371.83,3.68,0,53920.24,22927.83,76.68,5768.76,0,16835.84,246.55,30992.41,4742.89,25459.78,0,787.1,2.64,7255.3,1326.42,9.81,1309.95,0,0,6.66,5928.89,215.32,5713.49,0,0,0.08,46664.94,21601.41,66.87,4458.81,0,16835.84,239.9,25063.53,4527.57,19746.29,0,787.1,2.56,9987.21,9211.29,775.91,0,68631.09,29274.62,39356.47,36.33,208.2,4800.66,4324.31,476.35,65.32,46.38,18.94,4735.34,4277.93,457.41,40773.7,11.77,0.16,11.61
2006,4,2006Q4,69008.96,4140.26,0,0,0,0,4140.26,1792.47,2347.79,0,1092.72,741.67,741.67,0,0,0,351.06,222.86,0,0,128.2,7339.03,3218.86,0,1414.71,1128.95,675.2,4120.17,501.28,3614.3,4.58,0,56436.95,22973.76,68.5,5449.82,0,17254.03,201.41,33463.19,4772.88,27834.49,0,853.19,2.63,7266.07,1149.8,0.15,1143.91,0,0,5.74,6116.27,215.41,5900.71,0,0,0.16,49170.87,21823.96,68.35,4305.9,0,17254.03,195.67,27346.92,4557.47,21933.78,0,853.19,2.47,10003.32,8923.16,1080.16,0,69008.96,26934.28,42074.67,35.93,245.8,4805.44,4327.31,478.12,95.57,45.48,50.09,4709.86,4281.83,428.03,41327.4,11.63,0.23,11.4
2007,1,2007Q1,69455.8,3219.99,0,0,0,0,3219.99,1184.68,2035.31,0,1287.3,853,853,0,0,0,434.3,305.61,0,0,128.7,7022.18,3857.54,0,1687.43,1211.26,958.85,3164.64,448.35,2711.47,4.83,0,57926.32,23598.36,64.04,5937.43,0,17314.82,282.07,34327.96,4920.16,28690.63,0,711.76,5.4,8203.75,1668.2,0.15,1660.72,0,0,7.33,6535.56,215.02,6320.3,0,0,0.23,49722.57,21930.16,63.89,4276.71,0,17314.82,274.74,27792.41,4705.15,22370.33,0,711.76,5.17,11022.08,9799.17,1222.9,0,69455.8,28308.89,41146.9,34.47,247.5,7802.26,7295.03,507.22,83.25,42.9,40.35,7719.01,7252.14,466.87,41796,18.67,0.19,18.48
2007,2,2007Q2,69869.16,2222.58,3.33,3.33,0,0,2219.25,565.27,1653.98,0,368.75,21.09,21.09,0,0,0,347.66,218.47,0,0,129.19,6783.19,3767.04,0,1624.6,1147.25,995.19,3016.15,448.35,2562.7,5.1,0,60494.64,26547.79,79.76,6687.19,0,19567.81,213.03,33946.84,5434.9,27881.84,0,551.73,78.38,8451,1959.44,0.13,1951.86,0,0,7.45,6491.56,235.65,6255.91,0,0,0,52043.64,24588.35,79.63,4735.33,0,19567.81,205.59,27455.28,5199.25,21625.92,0,551.73,78.38,11100.97,10005.6,1095.37,0,69869.16,30339.25,39529.9,33.49,237.6,4323.25,3853.75,469.5,373,322.08,50.92,3950.25,3531.67,418.59,42952,10.07,0.87,9.2
2007,3,2007Q3,73040.64,2200.66,3.36,3.36,0,0,2197.3,460.68,1736.62,0,476.23,23.71,23.71,0,0,0,452.52,319.87,0,0,132.65,6856.79,3855.68,0,1653.8,1241.81,960.07,3001.11,428.35,2568.61,4.15,0,63506.95,28859.75,85.46,7063.37,0,21477.6,233.32,34647.2,5693.13,28530.76,0,423.32,0,8720.74,2207.99,14.66,2188.4,0,0,4.93,6512.75,266.82,6245.93,0,0,0,54786.21,26651.76,70.8,4874.97,0,21477.6,228.4,28134.45,5426.31,22284.82,0,423.32,0,11256.88,9889.48,1367.4,0,73040.64,32742.51,40298.13,33.72,244.2,4504.6,4047.46,457.14,40.66,22.25,18.41,4463.93,4025.21,438.73,46694,9.65,0.09,9.56
